rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
117,50,1031,1039,0.38,11199.59,0.0419
118,8,256,265,0.42,10967.01,0.0411
119,42,1229,1235,0.29,10929.55,0.0409
120,12,8381,8386,0.25,10157.81,0.038
121,40,8441,8478,1.58,9928.64,0.0372
122,47,8383,8393,0.46,9858.91,0.0369
123,46,29,33,0.21,9421.14,0.0353
124,42,8477,8479,0.12,9368.62,0.0351
125,14,8632,8640,0.38,9294.93,0.0348
126,39,1082,1088,0.29,9034.47,0.0338
127,4,151,199,2.04,8764.39,0.0328
128,51,151,151,0.04,8680.83,0.0325
129,56,77,81,0.21,8362.48,0.0313
130,18,222,223,0.08,8267.33,0.031
131,47,8753,8759,0.29,8195.05,0.0307
132,34,8599,8623,1.04,7965.75,0.0298
133,36,735,740,0.25,7803.9,0.0292
134,3,7735,7735,0.04,7799.05,0.0292
135,59,317,322,0.25,7786.38,0.0292
136,21,7925,7930,0.25,7751.5,0.029
137,13,390,395,0.25,7642.63,0.0286
138,54,81,89,0.38,7472.89,0.028
139,40,8215,8215,0.04,7403.78,0.0277
140,20,367,367,0.04,7124.79,0.0267
141,58,797,801,0.21,6877.78,0.0257
