rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
479,12,8728,8759,1.33,2028.88,0.0101
480,25,7976,8009,1.42,1972.45,0.0098
481,22,4405,4454,2.08,1970.05,0.0098
482,17,8392,8421,1.25,1959.22,0.0097
483,4,1842,1846,0.21,1947.68,0.0097
484,24,1073,1103,1.29,1934.62,0.0096
485,11,4742,4742,0.04,1933.66,0.0096
486,34,5775,5799,1.04,1900.67,0.0094
487,27,4719,4766,2.0,1879.1,0.0093
488,36,1471,1495,1.04,1863.74,0.0093
489,6,7719,7724,0.25,1853.45,0.0092
490,60,8391,8418,1.17,1833.84,0.0091
491,38,8224,8251,1.17,1818.32,0.009
492,27,7240,7268,1.21,1812.21,0.009
493,28,5246,5271,1.08,1803.22,0.009
494,6,5893,5941,2.04,1781.74,0.0088
495,31,7935,7962,1.17,1751.78,0.0087
496,27,8575,8599,1.04,1743.94,0.0087
497,41,8296,8323,1.17,1740.56,0.0086
498,9,5751,5773,0.96,1737.13,0.0086
499,53,1874,1895,0.92,1735.17,0.0086
500,35,424,451,1.17,1705.26,0.0085
501,6,6135,6157,0.96,1705.23,0.0085
502,5,1926,1951,1.08,1692.88,0.0084
503,18,4380,4405,1.08,1676.96,0.0083
504,33,1720,1746,1.12,1670.33,0.0083
505,3,1662,1687,1.08,1666.28,0.0083
506,47,5797,5869,3.04,1657.55,0.0082
507,38,4597,4621,1.04,1653.36,0.0082
508,31,6253,6277,1.04,1652.51,0.0082
509,27,7759,7784,1.08,1639.26,0.0081
510,41,5605,5629,1.04,1626.37,0.0081
511,37,5559,5582,1.0,1623.82,0.0081
512,35,5775,5822,2.0,1619.74,0.008
513,59,8464,8489,1.08,1612.47,0.008
514,51,8046,8071,1.08,1609.36,0.008
515,49,7936,7962,1.12,1604.72,0.008
516,17,5558,5582,1.04,1600.62,0.0079
517,45,161,186,1.08,1598.09,0.0079
518,50,7577,7602,1.08,1592.57,0.0079
519,19,6110,6110,0.04,1591.41,0.0079
520,33,4405,4429,1.04,1585.92,0.0079
521,21,4237,4285,2.04,1583.3,0.0079
522,10,7552,7578,1.12,1558.8,0.0077
523,12,8440,8465,1.08,1552.88,0.0077
524,34,5103,5126,1.0,1551.95,0.0077
525,30,7784,7808,1.04,1550.37,0.0077
526,20,4526,4549,1.0,1536.89,0.0076
527,45,5415,5438,1.0,1525.49,0.0076
528,26,4527,4550,1.0,1504.71,0.0075
529,23,4358,4358,0.04,1498.07,0.0074
530,27,1529,1553,1.04,1497.56,0.0074
531,36,7617,7640,1.0,1493.31,0.0074
532,42,5246,5269,1.0,1487.52,0.0074
533,55,6085,6132,2.0,1447.8,0.0072
534,56,4406,4428,0.96,1436.82,0.0071
535,36,5727,5740,0.58,1419.92,0.0071
536,25,5773,5798,1.08,1389.61,0.0069
537,33,5079,5099,0.88,1361.88,0.0068
538,12,5414,5438,1.04,1330.62,0.0066
539,2,3925,3948,1.0,1303.58,0.0065
540,1,4381,4407,1.12,1302.61,0.0065
541,58,4404,4429,1.08,1290.89,0.0064
542,11,6085,6085,0.04,1288.18,0.0064
543,38,5725,5750,1.08,1275.53,0.0063
544,50,4429,4439,0.46,1274.16,0.0063
545,29,4262,4262,0.04,1269.88,0.0063
546,24,4910,4933,1.0,1249.22,0.0062
547,16,4429,4439,0.46,1244.52,0.0062
548,31,8742,8759,0.75,1241.6,0.0062
549,53,5773,5797,1.04,1234.23,0.0061
550,24,8743,8759,0.71,1224.62,0.0061
551,56,5868,5869,0.08,1223.72,0.0061
552,3,3923,3949,1.12,1212.99,0.006
553,32,678,691,0.58,1195.84,0.0059
554,51,6085,6133,2.04,1188.17,0.0059
555,52,6109,6109,0.04,1185.3,0.0059
556,39,6254,6254,0.04,1180.18,0.0059
557,7,4911,4923,0.54,1169.84,0.0058
558,12,3925,3973,2.04,1163.42,0.0058
559,45,3948,3973,1.08,1163.26,0.0058
560,55,4527,4540,0.58,1140.7,0.0057
561,1,4477,4524,2.0,1139.25,0.0057
562,58,5702,5711,0.42,1126.56,0.0056
563,19,5701,5725,1.04,1125.22,0.0056
564,14,5893,5893,0.04,1123.41,0.0056
565,33,7624,7640,0.71,1118.62,0.0056
566,26,439,449,0.46,1108.75,0.0055
567,54,6207,6207,0.04,1104.82,0.0055
568,35,6110,6110,0.04,1099.44,0.0055
569,12,3709,3709,0.04,1075.88,0.0053
570,49,8128,8144,0.71,1071.01,0.0053
571,60,5535,5535,0.04,1061.69,0.0053
572,6,7385,7399,0.62,1058.94,0.0053
573,13,3734,3734,0.04,1051.29,0.0052
574,41,8224,8240,0.71,1035.73,0.0051
575,45,4743,4743,0.04,1024.56,0.0051
576,51,3926,3926,0.04,1018.49,0.0051
577,36,688,703,0.67,1008.35,0.005
578,52,4286,4286,0.04,1005.63,0.005
579,23,4430,4430,0.04,1002.06,0.005
580,43,5270,5270,0.04,1000.78,0.005
581,32,4863,4863,0.04,995.69,0.0049
582,39,8214,8226,0.54,984.2,0.0049
583,8,3708,3708,0.04,972.88,0.0048
584,31,5534,5555,0.92,972.86,0.0048
585,59,4261,4261,0.04,968.6,0.0048
586,44,822,836,0.62,967.06,0.0048
587,48,6063,6063,0.04,964.71,0.0048
588,48,5462,5462,0.04,962.03,0.0048
589,44,4742,4742,0.04,952.66,0.0047
590,9,4380,4405,1.08,952.11,0.0047
591,17,4743,4743,0.04,950.54,0.0047
592,4,3613,3613,0.04,946.63,0.0047
593,53,5606,5606,0.04,933.87,0.0046
594,46,4620,4620,0.04,933.34,0.0046
595,29,4430,4453,1.0,932.93,0.0046
596,22,5294,5294,0.04,927.89,0.0046
597,54,3925,3972,2.0,921.26,0.0046
598,36,4526,4536,0.46,915.05,0.0045
599,12,4478,4478,0.04,912.07,0.0045
600,56,3901,3924,1.0,899.71,0.0045
601,39,4382,4405,1.0,894.17,0.0044
602,43,6036,6061,1.08,882.25,0.0044
603,28,4598,4598,0.04,879.84,0.0044
604,26,3925,3952,1.17,878.24,0.0044
605,40,1194,1207,0.58,868.77,0.0043
606,51,4910,4936,1.12,857.42,0.0043
607,52,5413,5414,0.08,849.09,0.0042
608,49,6255,6255,0.04,837.94,0.0042
609,46,6110,6110,0.04,830.26,0.0041
610,13,4044,4045,0.08,820.12,0.0041
611,23,5079,5088,0.42,812.9,0.004
612,12,1496,1508,0.54,812.86,0.004
613,13,4527,4536,0.42,808.58,0.004
614,13,1096,1106,0.46,805.42,0.004
615,54,4526,4535,0.42,803.27,0.004
616,53,5273,5280,0.33,793.91,0.0039
617,14,3901,3925,1.04,793.35,0.0039
618,50,5628,5652,1.04,788.62,0.0039
619,11,3951,3998,2.0,786.89,0.0039
620,41,7375,7387,0.54,785.92,0.0039
621,6,1600,1608,0.38,767.93,0.0038
622,10,1364,1375,0.5,763.83,0.0038
623,8,3950,3958,0.38,740.56,0.0037
624,3,5246,5271,1.08,718.69,0.0036
625,11,4526,4526,0.04,697.21,0.0035
626,60,1696,1700,0.21,695.86,0.0035
627,51,5965,5968,0.17,686.16,0.0034
628,49,5055,5077,0.96,673.81,0.0033
629,51,6231,6231,0.04,670.6,0.0033
630,27,5773,5773,0.04,662.93,0.0033
631,15,6373,6374,0.08,661.82,0.0033
632,21,8153,8162,0.42,658.7,0.0033
633,39,5726,5726,0.04,657.5,0.0033
634,59,4647,4647,0.04,628.34,0.0031
635,34,8552,8561,0.42,617.45,0.0031
636,23,4599,4599,0.04,612.92,0.003
637,32,5103,5103,0.04,612.65,0.003
638,19,5367,5367,0.04,602.44,0.003
639,22,5366,5366,0.04,597.19,0.003
640,21,4069,4069,0.04,595.47,0.003
641,31,7050,7051,0.08,593.58,0.0029
642,28,1220,1225,0.25,584.21,0.0029
643,20,5701,5701,0.04,582.16,0.0029
644,3,5462,5462,0.04,582.0,0.0029
645,27,5055,5062,0.33,580.32,0.0029
646,38,4935,4942,0.33,570.61,0.0028
647,56,6111,6111,0.04,570.08,0.0028
648,37,3950,3956,0.29,546.02,0.0027
649,35,6061,6061,0.04,545.68,0.0027
650,29,5941,5941,0.04,543.46,0.0027
651,23,1000,1007,0.33,540.08,0.0027
652,44,1672,1679,0.33,539.19,0.0027
653,8,5941,5941,0.04,536.62,0.0027
654,30,4549,4549,0.04,536.0,0.0027
655,17,4573,4573,0.04,533.42,0.0026
656,11,751,752,0.08,531.74,0.0026
657,54,5463,5463,0.04,526.94,0.0026
658,34,6206,6206,0.04,526.0,0.0026
659,52,1576,1583,0.33,524.53,0.0026
660,45,5006,5006,0.04,514.96,0.0026
661,55,3949,3949,0.04,514.89,0.0026
662,6,4549,4549,0.04,513.49,0.0025
663,18,4094,4094,0.04,504.88,0.0025
664,44,4527,4527,0.04,500.53,0.0025
665,8,4527,4533,0.29,499.8,0.0025
666,51,3781,3781,0.04,499.12,0.0025
667,29,5101,5101,0.04,498.45,0.0025
668,48,4405,4405,0.04,497.99,0.0025
669,42,4428,4428,0.04,487.84,0.0024
670,40,4622,4622,0.04,485.88,0.0024
671,11,6302,6302,0.04,485.3,0.0024
672,15,5606,5606,0.04,482.09,0.0024
673,48,5703,5709,0.29,475.08,0.0024
674,50,4358,4358,0.04,472.06,0.0023
675,39,1169,1175,0.29,470.03,0.0023
676,39,6110,6110,0.04,464.68,0.0023
677,48,5198,5198,0.04,460.19,0.0023
678,12,1745,1751,0.29,457.3,0.0023
679,36,5677,5677,0.04,457.26,0.0023
680,2,1001,1007,0.29,453.64,0.0023
681,54,1097,1103,0.29,450.89,0.0022
682,25,4885,4885,0.04,450.24,0.0022
683,8,5391,5391,0.04,448.1,0.0022
684,54,5701,5701,0.04,447.03,0.0022
685,8,5701,5701,0.04,445.79,0.0022
686,36,4405,4405,0.04,445.24,0.0022
687,38,4020,4020,0.04,444.38,0.0022
688,30,4119,4119,0.04,443.21,0.0022
689,48,4094,4094,0.04,442.86,0.0022
690,6,6036,6036,0.04,442.0,0.0022
691,20,4093,4093,0.04,441.87,0.0022
692,14,4429,4429,0.04,440.12,0.0022
693,7,5389,5389,0.04,438.65,0.0022
694,10,5797,5797,0.04,438.49,0.0022
695,27,5964,5964,0.04,438.3,0.0022
696,36,4117,4117,0.04,436.5,0.0022
697,59,5534,5534,0.04,436.28,0.0022
698,57,5798,5798,0.04,434.63,0.0022
699,7,4429,4429,0.04,433.92,0.0022
700,60,6061,6061,0.04,432.81,0.0021
701,5,4093,4093,0.04,432.2,0.0021
702,38,4117,4117,0.04,430.61,0.0021
703,41,5749,5749,0.04,428.0,0.0021
704,16,6085,6085,0.04,427.27,0.0021
705,22,6111,6111,0.04,425.67,0.0021
706,26,4045,4045,0.04,425.58,0.0021
707,9,5845,5845,0.04,425.33,0.0021
708,42,5893,5893,0.04,424.05,0.0021
709,2,3347,3347,0.04,423.95,0.0021
710,35,4453,4453,0.04,422.53,0.0021
711,53,3564,3564,0.04,422.52,0.0021
712,27,4404,4404,0.04,422.03,0.0021
713,50,6013,6013,0.04,421.89,0.0021
714,37,5701,5701,0.04,421.33,0.0021
715,29,4550,4550,0.04,420.43,0.0021
716,55,5991,5991,0.04,418.96,0.0021
717,25,4429,4429,0.04,417.56,0.0021
718,21,5917,5917,0.04,416.85,0.0021
719,49,6037,6037,0.04,415.81,0.0021
720,45,3589,3589,0.04,415.66,0.0021
721,51,4429,4429,0.04,413.89,0.0021
722,60,3973,3973,0.04,413.3,0.0021
723,15,3973,3973,0.04,412.7,0.002
724,54,4258,4258,0.04,411.82,0.002
725,41,6037,6037,0.04,411.37,0.002
726,13,4767,4767,0.04,409.51,0.002
727,43,4549,4549,0.04,407.87,0.002
728,10,4070,4070,0.04,407.68,0.002
729,15,6133,6133,0.04,405.66,0.002
730,31,4429,4429,0.04,405.65,0.002
731,43,5413,5413,0.04,401.5,0.002
732,2,5221,5221,0.04,396.49,0.002
733,16,1841,1846,0.25,396.22,0.002
734,45,4500,4500,0.04,393.71,0.002
735,43,8754,8759,0.25,391.16,0.0019
736,53,5965,5965,0.04,385.76,0.0019
737,37,4549,4549,0.04,382.95,0.0019
738,48,4767,4767,0.04,381.0,0.0019
739,44,5413,5413,0.04,376.67,0.0019
740,18,6398,6398,0.04,376.44,0.0019
741,11,4429,4429,0.04,375.06,0.0019
742,12,5750,5750,0.04,371.44,0.0018
743,30,6,6,0.04,359.38,0.0018
744,42,6230,6230,0.04,356.2,0.0018
745,14,5965,5965,0.04,354.17,0.0018
746,46,6470,6470,0.04,352.22,0.0017
747,4,79,83,0.21,330.74,0.0016
748,33,5965,5966,0.08,328.63,0.0016
749,17,544,548,0.21,326.95,0.0016
750,46,3853,3853,0.04,324.51,0.0016
751,23,6084,6086,0.12,309.99,0.0015
752,5,5869,5869,0.04,303.31,0.0015
