rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
534,45,813,813,0.04,225.33,0.0008
535,47,5030,5030,0.04,224.53,0.0008
536,46,4885,4885,0.04,220.84,0.0008
537,56,5967,5967,0.04,218.79,0.0008
538,45,5102,5102,0.04,210.0,0.0008
539,22,5413,5413,0.04,209.42,0.0008
540,19,666,666,0.04,207.14,0.0008
541,24,823,823,0.04,204.86,0.0008
542,52,548,548,0.04,202.6,0.0008
543,36,5582,5582,0.04,198.63,0.0007
544,31,4549,4549,0.04,196.48,0.0007
545,32,309,309,0.04,192.08,0.0007
546,5,8225,8225,0.04,190.48,0.0007
547,60,5966,5966,0.04,190.28,0.0007
548,39,319,319,0.04,189.28,0.0007
549,18,6135,6135,0.04,189.22,0.0007
550,34,4117,4117,0.04,188.64,0.0007
551,40,4285,4285,0.04,188.51,0.0007
552,55,79,79,0.04,187.81,0.0007
553,16,5341,5341,0.04,187.58,0.0007
554,54,1074,1074,0.04,185.22,0.0007
555,7,5246,5246,0.04,181.47,0.0007
556,53,8225,8225,0.04,180.6,0.0007
557,38,5341,5341,0.04,178.84,0.0007
558,16,5055,5055,0.04,178.51,0.0007
